date_utc,lead,status,right_0_3_bipolar_ohm,right_0_3idx_ohm
1770761837.0,LEAD_B33015,INVESTIGATE,4084.0,5103.0
1770832525.0,LEAD_B33015,INVESTIGATE,3298.0,4480.0
1770847633.0,LEAD_B33015,INVESTIGATE,3254.0,4494.0
1770921511.0,LEAD_B33015,INVESTIGATE,3849.0,4748.0
1770932747.0,LEAD_B33015,INVESTIGATE,3950.0,4878.0
1771007376.0,LEAD_B33015,INVESTIGATE,3689.0,4019.0
1771027960.0,LEAD_B33015,INVESTIGATE,3791.0,4440.0
1771034274.0,LEAD_B33015,INVESTIGATE,3805.0,4490.0
1771091783.0,LEAD_B33015,INVESTIGATE,3776.0,4545.0
1771107798.0,LEAD_B33015,INVESTIGATE,3965.0,4490.0
1771121003.0,LEAD_B33015,INVESTIGATE,3733.0,4338.0
1771186162.0,LEAD_B33015,INVESTIGATE,3892.0,4461.0
1771201224.0,LEAD_B33015,INVESTIGATE,3994.0,4741.0
1771267536.0,LEAD_B33015,INVESTIGATE,4164.0,4900.0
1771278054.0,LEAD_B33015,INVESTIGATE,4200.0,4969.0
1771347400.0,LEAD_B33015,INVESTIGATE,4179.0,4842.0
1771373175.0,LEAD_B33015,INVESTIGATE,4208.0,5038.0
1771380283.0,LEAD_B33015,INVESTIGATE,3631.0,4418.0
1771528760.0,LEAD_B33015,GOOD,4316.0,5158.0
1771533686.0,LEAD_B33015,INVESTIGATE,4320.0,5129.0
1771551140.0,LEAD_B33015,GOOD,4084.0,4715.0
1771612286.0,LEAD_B33015,GOOD,3950.0,4882.0
1771626802.0,LEAD_B33015,GOOD,4041.0,5121.0
1771697140.0,LEAD_B33015,GOOD,4175.0,4962.0
1771708989.0,LEAD_B33015,GOOD,4273.0,5060.0
1771725931.0,LEAD_B33015,GOOD,4197.0,5049.0
1771780037.0,LEAD_B33015,GOOD,4251.0,5107.0
1771808553.0,LEAD_B33015,GOOD,4342.0,5205.0
1771870352.0,LEAD_B33015,GOOD,3617.0,3983.0
1771884357.0,LEAD_B33015,GOOD,3689.0,3914.0
1771896275.0,LEAD_B33015,GOOD,3791.0,4113.0
1771977636.0,LEAD_B33015,GOOD,3037.0,4298.0
1772054879.0,LEAD_B33015,GOOD,3443.0,4704.0
1772069054.0,LEAD_B33015,GOOD,3704.0,4813.0
1772127296.0,LEAD_B33015,GOOD,3573.0,4639.0
1772162367.0,LEAD_B33015,GOOD,3979.0,4342.0
1772224354.0,LEAD_B33015,GOOD,4106.0,5009.0
1772229941.0,LEAD_B33015,GOOD,4189.0,5085.0
1772242959.0,LEAD_B33015,GOOD,4244.0,5219.0
1772304538.0,LEAD_B33015,GOOD,4160.0,5114.0
1772316887.0,LEAD_B33015,GOOD,4157.0,5071.0
1772381427.0,LEAD_B33015,GOOD,4320.0,5161.0
1772414854.0,LEAD_B33015,GOOD,4247.0,5114.0
1772468668.0,LEAD_B33015,GOOD,4382.0,4806.0
1772487304.0,LEAD_B33015,GOOD,4168.0,4480.0
1772558001.0,LEAD_B33015,GOOD,3921.0,4766.0
1772584754.0,LEAD_B33015,GOOD,3994.0,4799.0
1772645622.0,LEAD_B33015,GOOD,4044.0,4966.0
1772654344.0,LEAD_B33015,GOOD,4117.0,4998.0
1772676341.0,LEAD_B33015,INVESTIGATE,4287.0,4998.0
1772726622.0,LEAD_B33015,GOOD,4135.0,4947.0
1772747403.0,LEAD_B33015,INVESTIGATE,4266.0,4944.0
1772762547.0,LEAD_B33015,INVESTIGATE,4316.0,5183.0
1772820277.0,LEAD_B33015,INVESTIGATE,3501.0,4407.0
1772834255.0,LEAD_B33015,INVESTIGATE,3443.0,4255.0
1772846449.0,LEAD_B33015,INVESTIGATE,3675.0,4280.0
1772908990.0,LEAD_B33015,GOOD,3936.0,4552.0
1772926668.0,LEAD_B33015,INVESTIGATE,3921.0,4679.0
1772934588.0,LEAD_B33015,INVESTIGATE,3983.0,4791.0
1772995209.0,LEAD_B33015,INVESTIGATE,3443.0,4864.0
1773004375.0,LEAD_B33015,INVESTIGATE,3399.0,4701.0
1773018599.0,LEAD_B33015,INVESTIGATE,3530.0,4900.0
1773077788.0,LEAD_B33015,INVESTIGATE,3805.0,4973.0
1773091403.0,LEAD_B33015,INVESTIGATE,3776.0,4509.0
1773101826.0,LEAD_B33015,INVESTIGATE,3910.0,4527.0
1773159582.0,LEAD_B33015,INVESTIGATE,4316.0,5049.0
1773186192.0,LEAD_B33015,INVESTIGATE,4349.0,5169.0
1773342737.0,LEAD_B33015,INVESTIGATE,3037.0,3907.0
1773364042.0,LEAD_B33015,INVESTIGATE,3428.0,4226.0
1773418467.0,LEAD_B33015,GOOD,3936.0,4762.0
1773444875.0,LEAD_B33015,GOOD,4179.0,5020.0
1773512436.0,LEAD_B33015,INVESTIGATE,4092.0,5219.0
1773522587.0,LEAD_B33015,INVESTIGATE,4157.0,5216.0
1773590633.0,LEAD_B33015,INVESTIGATE,4168.0,5103.0
1773680819.0,LEAD_B33015,INVESTIGATE,4451.0,5103.0
1773692945.0,LEAD_B33015,INVESTIGATE,4382.0,5060.0
1773708886.0,LEAD_B33015,INVESTIGATE,4393.0,5179.0
1773774897.0,LEAD_B33015,INVESTIGATE,4498.0,5074.0
1773787247.0,LEAD_B33015,INVESTIGATE,4530.0,5296.0
1773846540.0,LEAD_B33015,INVESTIGATE,4501.0,5321.0
1773863522.0,LEAD_B33015,INVESTIGATE,4461.0,5266.0
1773943779.0,LEAD_B33015,GOOD,3544.0,4668.0
1773967176.0,LEAD_B33015,GOOD,3689.0,4871.0
1774041745.0,LEAD_B33015,GOOD,4284.0,5328.0
1774052803.0,LEAD_B33015,INVESTIGATE,4374.0,5303.0
1774114986.0,LEAD_B33015,INVESTIGATE,4465.0,5223.0
1774124416.0,LEAD_B33015,INVESTIGATE,4429.0,5270.0
1774201353.0,LEAD_B33015,INVESTIGATE,4218.0,4944.0
1774213889.0,LEAD_B33015,INVESTIGATE,4374.0,5096.0
1774226755.0,LEAD_B33015,INVESTIGATE,4411.0,5179.0
1774285819.0,LEAD_B33015,INVESTIGATE,4425.0,5415.0
1774299100.0,LEAD_B33015,INVESTIGATE,4418.0,5183.0
1774308872.0,LEAD_B33015,INVESTIGATE,4458.0,5422.0
1774371034.0,LEAD_B33015,GOOD,3986.0,4940.0
1774394355.0,LEAD_B33015,GOOD,4088.0,4875.0
1774465401.0,LEAD_B33015,INVESTIGATE,3961.0,4773.0
1774477505.0,LEAD_B33015,INVESTIGATE,3950.0,4625.0
1774544893.0,LEAD_B33015,GOOD,3892.0,4621.0
