metric,channel,center,band_lo,band_hi,n,n_low,n_high,n_ratings,r,p_pearson,cohens_d,logit_beta,p_logit_cluster
nrs,ONE_THREE_LEFT,90.5,88.0,93.0,90,34,45,47,-0.07992495978416453,0.45395671646587576,-0.16984092,-0.3946842619623644,0.5026157160954765
nrs,ONE_THREE_LEFT,91.5,89.0,94.0,90,34,45,47,-0.11961574018693948,0.2614589732819434,-0.20097598,-0.4665590735684295,0.42850767093157127
nrs,ONE_THREE_LEFT,92.5,90.0,95.0,90,34,45,47,-0.11026757159155784,0.3008434556843249,-0.15358931,-0.36538915479122,0.5624409759794222
nrs,ONE_THREE_LEFT,93.5,91.0,96.0,90,34,45,47,-0.14563595563282072,0.1708038285358231,-0.19363002,-0.43997055219315256,0.4498294737627516
nrs,ONE_THREE_LEFT,94.5,92.0,97.0,90,34,45,47,-0.14419955061755474,0.17510771581344692,-0.21324623,-0.4778199564757462,0.42865141315936195
nrs,ONE_THREE_LEFT,95.5,93.0,98.0,90,34,45,47,-0.16526985344920192,0.11954252920467473,-0.284283,-0.644073404803302,0.30107407112997864
nrs,ONE_THREE_LEFT,96.5,94.0,99.0,90,34,45,47,-0.055380504028001626,0.6041515515695309,0.0014892501,0.0033689073244259704,0.9959966005041281
nrs,ONE_THREE_LEFT,97.5,95.0,100.0,90,34,45,47,-0.11463650639612478,0.2819778854335362,-0.12649158,-0.32141943763385844,0.6659090671900901
nrs,ONE_THREE_LEFT,98.5,96.0,101.0,90,34,45,47,-0.1070329967397647,0.3153312117466629,-0.117120124,-0.29056833408839183,0.6716741398941791
nrs,ONE_THREE_RIGHT,6.5,4.0,9.0,73,29,34,39,-0.17505024380985085,0.13853213371558365,-0.24618718,-0.35692641005640646,0.4370493533021218
nrs,ONE_THREE_RIGHT,7.5,5.0,10.0,73,29,34,39,-0.1745234070740089,0.13974227654514304,-0.16534509,-0.25532163485144305,0.6188131465823787
nrs,ONE_THREE_RIGHT,8.5,6.0,11.0,73,29,34,39,-0.172965938022345,0.14336633905629534,-0.11789569,-0.1916411099169067,0.7182670877455746
nrs,ONE_THREE_RIGHT,9.5,7.0,12.0,73,29,34,39,-0.10912958207502887,0.3580645460911313,0.035353478,0.05840164550788268,0.9089203940786543
nrs,ONE_THREE_RIGHT,10.5,8.0,13.0,73,29,34,39,-0.14696666171003273,0.21469404983388896,-0.06714242,-0.11406799810439128,0.8300441443741193
nrs,ONE_THREE_RIGHT,11.5,9.0,14.0,73,29,34,39,-0.14431414959906738,0.22317555272286696,-0.040545,-0.0675123119728776,0.8945597384590382
nrs,ONE_THREE_RIGHT,12.5,10.0,15.0,73,29,34,39,-0.15917793607836517,0.17858084452161543,-0.08290754,-0.12508929263983634,0.7881164869779445
nrs,ONE_THREE_RIGHT,13.5,11.0,16.0,73,29,34,39,-0.1487968556728312,0.20897615178288098,-0.047399882,-0.0692826124728362,0.8780275457245531
nrs,ONE_THREE_RIGHT,14.5,12.0,17.0,73,29,34,39,-0.1826192346339887,0.12200687565277613,-0.20348513,-0.30511839391787204,0.500448614860292
nrs,ONE_THREE_RIGHT,15.5,13.0,18.0,73,29,34,39,-0.17286492930142386,0.1436037891136465,-0.17189613,-0.25349169439864094,0.5713036476261315
