metric,channel,peak_center,band_lo,band_hi,run_lo,run_hi,run_width,r,cohens_d,p_logit,q_logit,n,n_ratings
left_leg_vas,ZERO_TWO_LEFT,54.5,52.0,57.0,48.5,58.5,11,-0.5039745526788375,-1.3598238,0.020103249379920057,0.3670880751467062,56,23
left_leg_vas,ZERO_THREE_LEFT,53.5,51.0,56.0,50.5,53.5,4,-0.4692240474457084,-1.0601394,0.021313477720337124,0.3670880751467062,63,23
left_leg_vas,ONE_THREE_RIGHT,53.5,51.0,56.0,53.5,54.5,2,-0.23775902475136365,-0.6408126,0.023769529570914834,0.3670880751467062,53,22
left_leg_vas,ZERO_TWO_RIGHT,48.5,46.0,51.0,47.5,50.5,4,-0.23744123362948472,-0.83093613,0.03294433179912534,0.39936410736160255,53,22
left_leg_vas,ZERO_TWO_LEFT,73.5,71.0,76.0,73.5,73.5,1,-0.4402514021877312,-1.204413,0.03370478367848174,0.39936410736160255,56,23
left_leg_vas,ZERO_TWO_LEFT,61.5,59.0,64.0,60.5,61.5,2,-0.38327629435475674,-1.1968648,0.03516202855260761,0.39936410736160255,56,23
left_leg_vas,ZERO_THREE_LEFT,84.5,82.0,87.0,84.5,84.5,1,-0.4272437088492527,-0.88673246,0.037739694844268826,0.39936410736160255,63,23
left_leg_vas,ZERO_TWO_LEFT,76.5,74.0,79.0,76.5,76.5,1,-0.4492036252354357,-1.1603208,0.041388606628829476,0.39936410736160255,56,23
left_leg_vas,ZERO_TWO_LEFT,66.5,64.0,69.0,66.5,66.5,1,-0.35725097184107607,-0.9262802,0.042864186672102386,0.39936410736160255,56,23
left_leg_vas,ZERO_THREE_LEFT,60.5,58.0,63.0,60.5,60.5,1,-0.33878677172160515,-0.9682261,0.04294237713565619,0.39936410736160255,63,23
left_leg_vas,ZERO_TWO_RIGHT,37.5,35.0,40.0,37.5,37.5,1,-0.20988420999395152,-0.6252987,0.044834613494049304,0.41012646442097556,53,22
mpq_sum,ONE_THREE_RIGHT,53.5,51.0,56.0,51.5,57.5,7,-0.29975013540822926,-0.64960086,0.0019634788355788377,0.10517705325028927,73,31
mpq_sum,ZERO_THREE_RIGHT,61.5,59.0,64.0,57.5,98.5,42,-0.3471103988402212,-0.8962192,0.003985052777913818,0.10517705325028927,116,49
mpq_sum,ZERO_TWO_LEFT,92.5,90.0,95.0,89.5,94.5,6,-0.38775468926264123,-0.80014175,0.006853155738982778,0.10517705325028927,79,36
mpq_sum,ZERO_TWO_RIGHT,48.5,46.0,51.0,47.5,51.5,5,-0.3128701399291352,-0.71013105,0.0076549949416299815,0.10517705325028927,73,31
mpq_sum,ZERO_THREE_LEFT,36.5,34.0,39.0,34.5,36.5,3,-0.2972634426847565,-0.8014227,0.00836708885981049,0.10517705325028927,86,36
mpq_sum,ZERO_THREE_RIGHT,32.5,30.0,35.0,30.5,37.5,8,-0.25995174214466277,-0.7546396,0.010196316219610754,0.10734989529326039,116,49
