channel,t_psd,center_hz,psd_bandpower_uV2,lsb_nearest,offset_s
ZERO_THREE_RIGHT,1765058097.0,26.4,1.311776599427672,65.0,-13306.0
ZERO_THREE_RIGHT,1765058737.0,26.4,1.311776599427672,65.0,-13946.0
ZERO_THREE_RIGHT,1765058826.0,26.4,1.311776599427672,65.0,-14035.0
ZERO_THREE_RIGHT,1765059339.0,26.4,1.311776599427672,65.0,-14548.0
ZERO_THREE_RIGHT,1765059428.0,26.4,1.311776599427672,65.0,-14637.0
ZERO_THREE_RIGHT,1765059797.0,26.4,1.311776599427672,65.0,-15006.0
ZERO_THREE_RIGHT,1765059797.0,26.4,1.311776599427672,65.0,-15006.0
ZERO_THREE_RIGHT,1765059886.0,26.4,1.311776599427672,65.0,-15095.0
ZERO_THREE_RIGHT,1765059886.0,26.4,1.311776599427672,65.0,-15095.0
ZERO_THREE_RIGHT,1765060040.0,26.4,1.311776599427672,65.0,-15249.0
ZERO_THREE_RIGHT,1765060129.0,26.4,1.311776599427672,65.0,-15338.0
ZERO_THREE_RIGHT,1765073112.0,26.4,1.0931471661897265,65.0,-28321.0
ZERO_THREE_RIGHT,1765073744.0,26.4,1.311776599427672,65.0,-28953.0
ZERO_THREE_RIGHT,1765073841.0,26.4,1.0931471661897265,65.0,-29050.0
ZERO_THREE_RIGHT,1765074346.0,26.4,1.311776599427672,65.0,-29555.0
ZERO_THREE_RIGHT,1765074443.0,26.4,1.0931471661897265,65.0,-29652.0
ZERO_THREE_RIGHT,1765074804.0,26.4,1.311776599427672,65.0,-30013.0
ZERO_THREE_RIGHT,1765074804.0,26.4,1.311776599427672,65.0,-30013.0
ZERO_THREE_RIGHT,1765074901.0,26.4,1.0931471661897265,65.0,-30110.0
ZERO_THREE_RIGHT,1765074901.0,26.4,1.0931471661897265,65.0,-30110.0
ZERO_THREE_RIGHT,1765075047.0,26.4,1.311776599427672,65.0,-30256.0
ZERO_THREE_RIGHT,1765075144.0,26.4,1.0931471661897265,65.0,-30353.0
ZERO_THREE_RIGHT,1765124311.0,26.4,1.0389091738007736,68.0,-672.0
ZERO_THREE_RIGHT,1765124933.0,26.4,1.2569794524780078,68.0,-1294.0
ZERO_THREE_RIGHT,1765125040.0,26.4,1.0389091738007736,68.0,-1401.0
ZERO_THREE_RIGHT,1765125535.0,26.4,1.2569794524780078,68.0,-1896.0
ZERO_THREE_RIGHT,1765125642.0,26.4,1.0389091738007736,68.0,-2003.0
ZERO_THREE_RIGHT,1765125993.0,26.4,1.2569794524780078,68.0,-2354.0
ZERO_THREE_RIGHT,1765125993.0,26.4,1.2569794524780078,68.0,-2354.0
ZERO_THREE_RIGHT,1765126100.0,26.4,1.0389091738007736,68.0,-2461.0
ZERO_THREE_RIGHT,1765126100.0,26.4,1.0389091738007736,68.0,-2461.0
ZERO_THREE_RIGHT,1765126236.0,26.4,1.2569794524780078,68.0,-2597.0
ZERO_THREE_RIGHT,1765126343.0,26.4,1.0389091738007736,68.0,-2704.0
ZERO_THREE_RIGHT,1765161120.0,26.4,1.1479443131393907,68.0,-37481.0
ZERO_THREE_RIGHT,1765161514.0,26.4,1.0383500192400625,68.0,-37875.0
ZERO_THREE_RIGHT,1765161722.0,26.4,1.1479443131393907,68.0,-38083.0
ZERO_THREE_RIGHT,1765162116.0,26.4,1.0383500192400625,68.0,-38477.0
ZERO_THREE_RIGHT,1765162180.0,26.4,1.1479443131393907,68.0,-38541.0
ZERO_THREE_RIGHT,1765162423.0,26.4,1.1479443131393907,68.0,-38784.0
ZERO_THREE_RIGHT,1765162574.0,26.4,1.0383500192400625,68.0,-38935.0
ZERO_THREE_RIGHT,1765162817.0,26.4,1.0383500192400625,68.0,-39178.0
ZERO_THREE_RIGHT,1765301015.0,26.4,1.421370893327,54.0,69720.0
ZERO_THREE_RIGHT,1765301294.0,26.4,1.311776599427672,54.0,69441.0
ZERO_THREE_RIGHT,1765301617.0,26.4,1.421370893327,54.0,69118.0
ZERO_THREE_RIGHT,1765301896.0,26.4,1.311776599427672,54.0,68839.0
ZERO_THREE_RIGHT,1765302075.0,26.4,1.421370893327,54.0,68660.0
ZERO_THREE_RIGHT,1765302075.0,26.4,1.421370893327,54.0,68660.0
ZERO_THREE_RIGHT,1765302318.0,26.4,1.421370893327,54.0,68417.0
ZERO_THREE_RIGHT,1765302354.0,26.4,1.311776599427672,54.0,68381.0
ZERO_THREE_RIGHT,1765302354.0,26.4,1.311776599427672,54.0,68381.0
ZERO_THREE_RIGHT,1765302597.0,26.4,1.311776599427672,54.0,68138.0
ZERO_THREE_RIGHT,1765322083.0,26.4,1.202741460089055,54.0,48652.0
ZERO_THREE_RIGHT,1765322384.0,26.4,0.9841120268511094,54.0,48351.0
ZERO_THREE_RIGHT,1765322812.0,26.4,1.202741460089055,54.0,47923.0
ZERO_THREE_RIGHT,1765322986.0,26.4,0.9841120268511094,54.0,47749.0
ZERO_THREE_RIGHT,1765323414.0,26.4,1.202741460089055,54.0,47321.0
ZERO_THREE_RIGHT,1765323444.0,26.4,0.9841120268511094,54.0,47291.0
ZERO_THREE_RIGHT,1765323444.0,26.4,0.9841120268511094,54.0,47291.0
ZERO_THREE_RIGHT,1765323687.0,26.4,0.9841120268511094,54.0,47048.0
ZERO_THREE_RIGHT,1765323872.0,26.4,1.202741460089055,54.0,46863.0
