survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,18.5,0.542343,2.67377
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,19.5,0.628579,2.1852
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,20.5,0.499527,1.85317
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,21.5,0.410826,1.5716
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,22.5,0.359662,1.29125
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,23.5,0.253426,1.07827
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,24.5,0.197589,0.985338
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,25.5,0.166824,0.903496
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,26.5,0.143476,0.804947
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,27.5,0.120876,0.718449
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,7.5,24.1328,122.294
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,8.5,18.7748,93.9503
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,9.5,13.9626,64.2182
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,10.5,7.1597,31.8674
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,11.5,3.55488,17.5398
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,12.5,2.35528,11.9271
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,13.5,1.50965,7.7632
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,14.5,0.71521,5.59016
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,15.5,0.681529,4.0697
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,16.5,0.550591,3.12185
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,17.5,0.46376,2.60289
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,18.5,0.448624,2.37303
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,19.5,0.442269,2.30157
